Institut,Auftraggeber,Befragte,Datum,Partei,Pct,Land
Emnid,Focus,T • 1.00020.06.–21.06.,24.06.2012,CSU,44 %,bayern
Emnid,CSU,T • 1.00016.04.–18.04.,20.04.2012,CSU,46 %,bayern
Emnid,Focus,T • 1.00115.03.–20.03.,24.03.2012,CSU,46 %,bayern
Infratestdimap,BayerischerRundfunk,1.00002.01.–03.01.,04.01.2012,CSU,44 %,bayern
GMS,Sat.1Bayern,1.00230.12.–03.01.,04.01.2012,CSU,42 %,bayern
Emnid,CSU,1.000??.12.–??.12.,21.12.2011,CSU,44 %,bayern
Forsa,Bayernpartei,1.00226.10.–25.11.,11.12.2011,CSU,41 %,bayern
Emnid,Focus,??.09.–??.09.,25.09.2011,CSU,43 %,bayern
Emnid,CSU,1.00031.08.–01.09.,06.09.2011,CSU,44 %,bayern
Forsa,stern,1.00715.08.–26.08.,31.08.2011,CSU,41 %,bayern
GMS,Sat.1Bayern,1.00206.06.–08.06.,10.06.2011,CSU,42 %,bayern
Emnid,CSU,1.00006.06.–08.06.,10.06.2011,CSU,45 %,bayern
Emnid,Focus,1.00011.03.–17.03.,20.03.2011,CSU,46 %,bayern
Forsa,stern,1.04804.01.–14.01.,19.01.2011,CSU,40 %,bayern
Infratestdimap,BayerischerRundfunk,1.00006.01.–10.01.,12.01.2011,CSU,46 %,bayern
Emnid,Bild,1.00110.12.–30.12.,04.01.2011,CSU,45 %,bayern
Infratestdimap,BayerischerRundfunk,1.00107.01.–12.01.,13.01.2010,CSU,41 %,bayern
Infratestdimap,BayerischerRundfunk,1.00008.01.–11.01.,14.01.2009,CSU,45 %,bayern
GMS,Sat.1Bayern,1.00204.01.–05.01.,07.01.2009,CSU,45 %,bayern
GMS,BayerischeStaatskanzlei,1.00212.12.–17.12.,04.08.2010*,CSU,45 %,bayern
Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,CSU,"43,4 %",bayern
Institut,Auftraggeber,Befragte,Datum,SPD,SPD,bayern
Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,SPD,"20,6 %",bayern
Emnid,N24,T • ≈1.00004.09.–05.09.,12.09.2013,SPD,18 %,bayern
Forschungs-gruppe Wahlen,ZDF,T • 1.01003.09.–05.09.,06.09.2013,SPD,20 %,bayern
Infratestdimap,ARD,T • 1.00603.09.–05.09.,05.09.2013,SPD,21 %,bayern
GMS,Sat.1Bayern,T • 1.00930.08.–02.09.,03.09.2013,SPD,18 %,bayern
Emnid,CSU,T • 1.00023.08.–24.08.,28.08.2013,SPD,18 %,bayern
Infratestdimap,BayerischerRundfunk,T • 1.00411.07.–15.07.,17.07.2013,SPD,18 %,bayern
GMS,Sat.1Bayern,T • 1.00708.07.–10.07.,11.07.2013,SPD,19 %,bayern
Emnid,CSU,T • 1.00004.07.–06.07.,10.07.2013,SPD,19 %,bayern
Forschungs-gruppe Wahlen,SüddeutscheZeitung,T • 1.00910.06.–12.06.,14.06.2013,SPD,20 %,bayern
GMS,Sat.1Bayern,T • 1.30903.06.–10.06.,11.06.2013,SPD,20 %,bayern
Forsa,stern,T • 1.10208.05.–23.05.,28.05.2013,SPD,20 %,bayern
GMS,Sat.1Bayern,T • 1.00828.04.–30.04.,02.05.2013,SPD,20 %,bayern
INSA,Bild,T • 1.00515.04.–17.04.,22.04.2013,SPD,18 %,bayern
GMS,vbw,T • 1.00404.02.–15.02.,06.03.2013,SPD,21 %,bayern
TNSInfratest,GRÜNE LV,T • 1.00128.01.–06.02.,12.02.2013,SPD,19 %,bayern
Emnid,CSU,T • 1.00105.02.–07.02.,10.02.2013,SPD,20 %,bayern
Emnid,CSU,T • ???.??.–??.??.,15.01.2013,SPD,20 %,bayern
Forsa,stern,T • 1.11917.12.–08.01.,10.01.2013,SPD,18 %,bayern
Infratestdimap,BayerischerRundfunk,T • 1.00003.01.–07.01.,09.01.2013,SPD,19 %,bayern
GMS,CSU,T • 1.10004.12.–07.12.,15.12.2012,SPD,22 %,bayern
GMS,vbw,T • ?22.10.–30.10.,20.11.2012,SPD,20 %,bayern
GMS,Sat.1Bayern,T • 1.00716.10.–18.10.,19.10.2012,SPD,20 %,bayern
Emnid,Focus,T • 1.00126.09.–10.10.,14.10.2012,SPD,21 %,bayern
Emnid,CSU,T • ???.??.–??.??.,18.09.2012,SPD,21 %,bayern
Emnid,CSU,T • 1.00027.07.–30.07.,13.08.2012,SPD,20 %,bayern
GMS,vbw,T • 1.000Ende Juni,17.07.2012,SPD,19 %,bayern
GMS,vbw,"Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.","Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.",SPD,"Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.",bayern
Forsa,stern,T • 1.15021.06.–29.06.,04.07.2012,SPD,23 %,bayern
Emnid,Focus,T • 1.00020.06.–21.06.,24.06.2012,SPD,22 %,bayern
Emnid,CSU,T • 1.00016.04.–18.04.,20.04.2012,SPD,20 %,bayern
Emnid,Focus,T • 1.00115.03.–20.03.,24.03.2012,SPD,20 %,bayern
Infratestdimap,BayerischerRundfunk,1.00002.01.–03.01.,04.01.2012,SPD,21 %,bayern
GMS,Sat.1Bayern,1.00230.12.–03.01.,04.01.2012,SPD,22 %,bayern
Emnid,CSU,1.000??.12.–??.12.,21.12.2011,SPD,21 %,bayern
Forsa,Bayernpartei,1.00226.10.–25.11.,11.12.2011,SPD,24 %,bayern
Emnid,Focus,??.09.–??.09.,25.09.2011,SPD,20 %,bayern
Emnid,CSU,1.00031.08.–01.09.,06.09.2011,SPD,18 %,bayern
Forsa,stern,1.00715.08.–26.08.,31.08.2011,SPD,21 %,bayern
GMS,Sat.1Bayern,1.00206.06.–08.06.,10.06.2011,SPD,19 %,bayern
Emnid,CSU,1.00006.06.–08.06.,10.06.2011,SPD,15 %,bayern
Emnid,Focus,1.00011.03.–17.03.,20.03.2011,SPD,17 %,bayern
Forsa,stern,1.04804.01.–14.01.,19.01.2011,SPD,16 %,bayern
Infratestdimap,BayerischerRundfunk,1.00006.01.–10.01.,12.01.2011,SPD,17 %,bayern
Emnid,Bild,1.00110.12.–30.12.,04.01.2011,SPD,18 %,bayern
Infratestdimap,BayerischerRundfunk,1.00107.01.–12.01.,13.01.2010,SPD,17 %,bayern
Infratestdimap,BayerischerRundfunk,1.00008.01.–11.01.,14.01.2009,SPD,17 %,bayern
GMS,Sat.1Bayern,1.00204.01.–05.01.,07.01.2009,SPD,19 %,bayern
GMS,BayerischeStaatskanzlei,1.00212.12.–17.12.,04.08.2010*,SPD,19 %,bayern
Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,SPD,"18,6 %",bayern
Institut,Auftraggeber,Befragte,Datum,GRÜNE,GRÜNE,bayern
Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,GRÜNE,"8,6 %",bayern
Emnid,N24,T • ≈1.00004.09.–05.09.,12.09.2013,GRÜNE,12 %,bayern
Forschungs-gruppe Wahlen,ZDF,T • 1.01003.09.–05.09.,06.09.2013,GRÜNE,10 %,bayern
Infratestdimap,ARD,T • 1.00603.09.–05.09.,05.09.2013,GRÜNE,11 %,bayern
GMS,Sat.1Bayern,T • 1.00930.08.–02.09.,03.09.2013,GRÜNE,13 %,bayern
Emnid,CSU,T • 1.00023.08.–24.08.,28.08.2013,GRÜNE,13 %,bayern
Infratestdimap,BayerischerRundfunk,T • 1.00411.07.–15.07.,17.07.2013,GRÜNE,15 %,bayern
GMS,Sat.1Bayern,T • 1.00708.07.–10.07.,11.07.2013,GRÜNE,11 %,bayern
Emnid,CSU,T • 1.00004.07.–06.07.,10.07.2013,GRÜNE,11 %,bayern
Forschungs-gruppe Wahlen,SüddeutscheZeitung,T • 1.00910.06.–12.06.,14.06.2013,GRÜNE,13 %,bayern
GMS,Sat.1Bayern,T • 1.30903.06.–10.06.,11.06.2013,GRÜNE,11 %,bayern
Forsa,stern,T • 1.10208.05.–23.05.,28.05.2013,GRÜNE,12 %,bayern
GMS,Sat.1Bayern,T • 1.00828.04.–30.04.,02.05.2013,GRÜNE,13 %,bayern
INSA,Bild,T • 1.00515.04.–17.04.,22.04.2013,GRÜNE,16 %,bayern
GMS,vbw,T • 1.00404.02.–15.02.,06.03.2013,GRÜNE,12 %,bayern
TNSInfratest,GRÜNE LV,T • 1.00128.01.–06.02.,12.02.2013,GRÜNE,15 %,bayern
Emnid,CSU,T • 1.00105.02.–07.02.,10.02.2013,GRÜNE,12 %,bayern
Emnid,CSU,T • ???.??.–??.??.,15.01.2013,GRÜNE,12 %,bayern
Forsa,stern,T • 1.11917.12.–08.01.,10.01.2013,GRÜNE,13 %,bayern
Infratestdimap,BayerischerRundfunk,T • 1.00003.01.–07.01.,09.01.2013,GRÜNE,14 %,bayern
GMS,CSU,T • 1.10004.12.–07.12.,15.12.2012,GRÜNE,10 %,bayern
GMS,vbw,T • ?22.10.–30.10.,20.11.2012,GRÜNE,10 %,bayern
GMS,Sat.1Bayern,T • 1.00716.10.–18.10.,19.10.2012,GRÜNE,10 %,bayern
Emnid,Focus,T • 1.00126.09.–10.10.,14.10.2012,GRÜNE,10 %,bayern
Emnid,CSU,T • ???.??.–??.??.,18.09.2012,GRÜNE,10 %,bayern
Emnid,CSU,T • 1.00027.07.–30.07.,13.08.2012,GRÜNE,12 %,bayern
GMS,vbw,T • 1.000Ende Juni,17.07.2012,GRÜNE,10 %,bayern
GMS,vbw,"Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.","Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.",GRÜNE,"Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.",bayern
Forsa,stern,T • 1.15021.06.–29.06.,04.07.2012,GRÜNE,11 %,bayern
Emnid,Focus,T • 1.00020.06.–21.06.,24.06.2012,GRÜNE,13 %,bayern
Emnid,CSU,T • 1.00016.04.–18.04.,20.04.2012,GRÜNE,12 %,bayern
Emnid,Focus,T • 1.00115.03.–20.03.,24.03.2012,GRÜNE,13 %,bayern
Infratestdimap,BayerischerRundfunk,1.00002.01.–03.01.,04.01.2012,GRÜNE,14 %,bayern
GMS,Sat.1Bayern,1.00230.12.–03.01.,04.01.2012,GRÜNE,12 %,bayern
Emnid,CSU,1.000??.12.–??.12.,21.12.2011,GRÜNE,13 %,bayern
Forsa,Bayernpartei,1.00226.10.–25.11.,11.12.2011,GRÜNE,10 %,bayern
Emnid,Focus,??.09.–??.09.,25.09.2011,GRÜNE,17 %,bayern
Emnid,CSU,1.00031.08.–01.09.,06.09.2011,GRÜNE,18 %,bayern
Forsa,stern,1.00715.08.–26.08.,31.08.2011,GRÜNE,16 %,bayern
GMS,Sat.1Bayern,1.00206.06.–08.06.,10.06.2011,GRÜNE,18 %,bayern
Emnid,CSU,1.00006.06.–08.06.,10.06.2011,GRÜNE,20 %,bayern
Emnid,Focus,1.00011.03.–17.03.,20.03.2011,GRÜNE,17 %,bayern
Forsa,stern,1.04804.01.–14.01.,19.01.2011,GRÜNE,20 %,bayern
Infratestdimap,BayerischerRundfunk,1.00006.01.–10.01.,12.01.2011,GRÜNE,17 %,bayern
Emnid,Bild,1.00110.12.–30.12.,04.01.2011,GRÜNE,16 %,bayern
Infratestdimap,BayerischerRundfunk,1.00107.01.–12.01.,13.01.2010,GRÜNE,15 %,bayern
Infratestdimap,BayerischerRundfunk,1.00008.01.–11.01.,14.01.2009,GRÜNE,11 %,bayern
GMS,Sat.1Bayern,1.00204.01.–05.01.,07.01.2009,GRÜNE,10 %,bayern
GMS,BayerischeStaatskanzlei,1.00212.12.–17.12.,04.08.2010*,GRÜNE,10 %,bayern
Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,GRÜNE,"9,4 %",bayern
Institut,Auftraggeber,Befragte,Datum,FDP,FDP,bayern
Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,FDP,"3,3 %",bayern
Emnid,N24,T • ≈1.00004.09.–05.09.,12.09.2013,FDP,4 %,bayern
Forschungs-gruppe Wahlen,ZDF,T • 1.01003.09.–05.09.,06.09.2013,FDP,4 %,bayern
Infratestdimap,ARD,T • 1.00603.09.–05.09.,05.09.2013,FDP,3 %,bayern
GMS,Sat.1Bayern,T • 1.00930.08.–02.09.,03.09.2013,FDP,5 %,bayern
Emnid,CSU,T • 1.00023.08.–24.08.,28.08.2013,FDP,4 %,bayern
Infratestdimap,BayerischerRundfunk,T • 1.00411.07.–15.07.,17.07.2013,FDP,3 %,bayern
GMS,Sat.1Bayern,T • 1.00708.07.–10.07.,11.07.2013,FDP,5 %,bayern
Emnid,CSU,T • 1.00004.07.–06.07.,10.07.2013,FDP,5 %,bayern
Forschungs-gruppe Wahlen,SüddeutscheZeitung,T • 1.00910.06.–12.06.,14.06.2013,FDP,4 %,bayern
GMS,Sat.1Bayern,T • 1.30903.06.–10.06.,11.06.2013,FDP,4 %,bayern
Forsa,stern,T • 1.10208.05.–23.05.,28.05.2013,FDP,4 %,bayern
GMS,Sat.1Bayern,T • 1.00828.04.–30.04.,02.05.2013,FDP,3 %,bayern
INSA,Bild,T • 1.00515.04.–17.04.,22.04.2013,FDP,2 %,bayern
GMS,vbw,T • 1.00404.02.–15.02.,06.03.2013,FDP,3 %,bayern
TNSInfratest,GRÜNE LV,T • 1.00128.01.–06.02.,12.02.2013,FDP,3 %,bayern
Emnid,CSU,T • 1.00105.02.–07.02.,10.02.2013,FDP,3 %,bayern
Emnid,CSU,T • ???.??.–??.??.,15.01.2013,FDP,3 %,bayern
Forsa,stern,T • 1.11917.12.–08.01.,10.01.2013,FDP,3 %,bayern
Infratestdimap,BayerischerRundfunk,T • 1.00003.01.–07.01.,09.01.2013,FDP,3 %,bayern
GMS,CSU,T • 1.10004.12.–07.12.,15.12.2012,FDP,4 %,bayern
GMS,vbw,T • ?22.10.–30.10.,20.11.2012,FDP,5 %,bayern
GMS,Sat.1Bayern,T • 1.00716.10.–18.10.,19.10.2012,FDP,5 %,bayern
Emnid,Focus,T • 1.00126.09.–10.10.,14.10.2012,FDP,4 %,bayern
Emnid,CSU,T • ???.??.–??.??.,18.09.2012,FDP,3 %,bayern
Emnid,CSU,T • 1.00027.07.–30.07.,13.08.2012,FDP,3 %,bayern
GMS,vbw,T • 1.000Ende Juni,17.07.2012,FDP,4 %,bayern
GMS,vbw,"Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.","Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.",FDP,"Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.",bayern
Forsa,stern,T • 1.15021.06.–29.06.,04.07.2012,FDP,2 %,bayern
Emnid,Focus,T • 1.00020.06.–21.06.,24.06.2012,FDP,3 %,bayern
Emnid,CSU,T • 1.00016.04.–18.04.,20.04.2012,FDP,2 %,bayern
Emnid,Focus,T • 1.00115.03.–20.03.,24.03.2012,FDP,2 %,bayern
Infratestdimap,BayerischerRundfunk,1.00002.01.–03.01.,04.01.2012,FDP,3 %,bayern
GMS,Sat.1Bayern,1.00230.12.–03.01.,04.01.2012,FDP,2 %,bayern
Emnid,CSU,1.000??.12.–??.12.,21.12.2011,FDP,2 %,bayern
Forsa,Bayernpartei,1.00226.10.–25.11.,11.12.2011,FDP,3 %,bayern
Emnid,Focus,??.09.–??.09.,25.09.2011,FDP,2 %,bayern
Emnid,CSU,1.00031.08.–01.09.,06.09.2011,FDP,4 %,bayern
Forsa,stern,1.00715.08.–26.08.,31.08.2011,FDP,3 %,bayern
GMS,Sat.1Bayern,1.00206.06.–08.06.,10.06.2011,FDP,4 %,bayern
Emnid,CSU,1.00006.06.–08.06.,10.06.2011,FDP,4 %,bayern
Emnid,Focus,1.00011.03.–17.03.,20.03.2011,FDP,4 %,bayern
Forsa,stern,1.04804.01.–14.01.,19.01.2011,FDP,4 %,bayern
Infratestdimap,BayerischerRundfunk,1.00006.01.–10.01.,12.01.2011,FDP,6 %,bayern
Emnid,Bild,1.00110.12.–30.12.,04.01.2011,FDP,5 %,bayern
Infratestdimap,BayerischerRundfunk,1.00107.01.–12.01.,13.01.2010,FDP,11 %,bayern
Infratestdimap,BayerischerRundfunk,1.00008.01.–11.01.,14.01.2009,FDP,10 %,bayern
GMS,Sat.1Bayern,1.00204.01.–05.01.,07.01.2009,FDP,8 %,bayern
GMS,BayerischeStaatskanzlei,1.00212.12.–17.12.,04.08.2010*,FDP,8 %,bayern
Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,FDP,"8,0 %",bayern
Institut,Auftraggeber,Befragte,Datum,LINKE,LINKE,bayern
Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,LINKE,"2,1 %",bayern
Emnid,N24,T • ≈1.00004.09.–05.09.,12.09.2013,LINKE,4 %,bayern
Forschungs-gruppe Wahlen,ZDF,T • 1.01003.09.–05.09.,06.09.2013,LINKE,–,bayern
Infratestdimap,ARD,T • 1.00603.09.–05.09.,05.09.2013,LINKE,3 %,bayern
GMS,Sat.1Bayern,T • 1.00930.08.–02.09.,03.09.2013,LINKE,3 %,bayern
Emnid,CSU,T • 1.00023.08.–24.08.,28.08.2013,LINKE,3 %,bayern
Infratestdimap,BayerischerRundfunk,T • 1.00411.07.–15.07.,17.07.2013,LINKE,3 %,bayern
GMS,Sat.1Bayern,T • 1.00708.07.–10.07.,11.07.2013,LINKE,2 %,bayern
Emnid,CSU,T • 1.00004.07.–06.07.,10.07.2013,LINKE,3 %,bayern
Forschungs-gruppe Wahlen,SüddeutscheZeitung,T • 1.00910.06.–12.06.,14.06.2013,LINKE,–,bayern
GMS,Sat.1Bayern,T • 1.30903.06.–10.06.,11.06.2013,LINKE,3 %,bayern
Forsa,stern,T • 1.10208.05.–23.05.,28.05.2013,LINKE,3 %,bayern
GMS,Sat.1Bayern,T • 1.00828.04.–30.04.,02.05.2013,LINKE,2 %,bayern
INSA,Bild,T • 1.00515.04.–17.04.,22.04.2013,LINKE,2 %,bayern
GMS,vbw,T • 1.00404.02.–15.02.,06.03.2013,LINKE,3 %,bayern
TNSInfratest,GRÜNE LV,T • 1.00128.01.–06.02.,12.02.2013,LINKE,2 %,bayern
Emnid,CSU,T • 1.00105.02.–07.02.,10.02.2013,LINKE,2 %,bayern
Emnid,CSU,T • ???.??.–??.??.,15.01.2013,LINKE,3 %,bayern
Forsa,stern,T • 1.11917.12.–08.01.,10.01.2013,LINKE,4 %,bayern
Infratestdimap,BayerischerRundfunk,T • 1.00003.01.–07.01.,09.01.2013,LINKE,2 %,bayern
GMS,CSU,T • 1.10004.12.–07.12.,15.12.2012,LINKE,?,bayern
GMS,vbw,T • ?22.10.–30.10.,20.11.2012,LINKE,2 %,bayern
GMS,Sat.1Bayern,T • 1.00716.10.–18.10.,19.10.2012,LINKE,2 %,bayern
Emnid,Focus,T • 1.00126.09.–10.10.,14.10.2012,LINKE,2 %,bayern
Emnid,CSU,T • ???.??.–??.??.,18.09.2012,LINKE,2 %,bayern
Emnid,CSU,T • 1.00027.07.–30.07.,13.08.2012,LINKE,2 %,bayern
GMS,vbw,T • 1.000Ende Juni,17.07.2012,LINKE,?,bayern
GMS,vbw,"Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.","Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.",LINKE,"Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.",bayern
Forsa,stern,T • 1.15021.06.–29.06.,04.07.2012,LINKE,2 %,bayern
Emnid,Focus,T • 1.00020.06.–21.06.,24.06.2012,LINKE,1 %,bayern
Emnid,CSU,T • 1.00016.04.–18.04.,20.04.2012,LINKE,2 %,bayern
Emnid,Focus,T • 1.00115.03.–20.03.,24.03.2012,LINKE,2 %,bayern
Infratestdimap,BayerischerRundfunk,1.00002.01.–03.01.,04.01.2012,LINKE,2 %,bayern
GMS,Sat.1Bayern,1.00230.12.–03.01.,04.01.2012,LINKE,2 %,bayern
Emnid,CSU,1.000??.12.–??.12.,21.12.2011,LINKE,2 %,bayern
Forsa,Bayernpartei,1.00226.10.–25.11.,11.12.2011,LINKE,3 %,bayern
Emnid,Focus,??.09.–??.09.,25.09.2011,LINKE,3 %,bayern
Emnid,CSU,1.00031.08.–01.09.,06.09.2011,LINKE,?,bayern
Forsa,stern,1.00715.08.–26.08.,31.08.2011,LINKE,4 %,bayern
GMS,Sat.1Bayern,1.00206.06.–08.06.,10.06.2011,LINKE,4 %,bayern
Emnid,CSU,1.00006.06.–08.06.,10.06.2011,LINKE,4 %,bayern
Emnid,Focus,1.00011.03.–17.03.,20.03.2011,LINKE,4 %,bayern
Forsa,stern,1.04804.01.–14.01.,19.01.2011,LINKE,4 %,bayern
Infratestdimap,BayerischerRundfunk,1.00006.01.–10.01.,12.01.2011,LINKE,4 %,bayern
Emnid,Bild,1.00110.12.–30.12.,04.01.2011,LINKE,5 %,bayern
Infratestdimap,BayerischerRundfunk,1.00107.01.–12.01.,13.01.2010,LINKE,5 %,bayern
Infratestdimap,BayerischerRundfunk,1.00008.01.–11.01.,14.01.2009,LINKE,3 %,bayern
GMS,Sat.1Bayern,1.00204.01.–05.01.,07.01.2009,LINKE,4 %,bayern
GMS,BayerischeStaatskanzlei,1.00212.12.–17.12.,04.08.2010*,LINKE,4 %,bayern
Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,Landtagswahl am 28.09.2008,LINKE,"4,3 %",bayern
Institut,Auftraggeber,Befragte,Datum,FW,FW,bayern
Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,Landtagswahl am 15.09.2013,FW,"9,0 %",bayern
Emnid,N24,T • ≈1.00004.09.–05.09.,12.09.2013,FW,8 %,bayern
Forschungs-gruppe Wahlen,ZDF,T • 1.01003.09.–05.09.,06.09.2013,FW,8 %,bayern
Infratestdimap,ARD,T • 1.00603.09.–05.09.,05.09.2013,FW,7 %,bayern
GMS,Sat.1Bayern,T • 1.00930.08.–02.09.,03.09.2013,FW,8 %,bayern
Emnid,CSU,T • 1.00023.08.–24.08.,28.08.2013,FW,8 %,bayern
Infratestdimap,BayerischerRundfunk,T • 1.00411.07.–15.07.,17.07.2013,FW,8 %,bayern
GMS,Sat.1Bayern,T • 1.00708.07.–10.07.,11.07.2013,FW,10 %,bayern
Emnid,CSU,T • 1.00004.07.–06.07.,10.07.2013,FW,9 %,bayern
Forschungs-gruppe Wahlen,SüddeutscheZeitung,T • 1.00910.06.–12.06.,14.06.2013,FW,10 %,bayern
GMS,Sat.1Bayern,T • 1.30903.06.–10.06.,11.06.2013,FW,9 %,bayern
Forsa,stern,T • 1.10208.05.–23.05.,28.05.2013,FW,9 %,bayern
GMS,Sat.1Bayern,T • 1.00828.04.–30.04.,02.05.2013,FW,8 %,bayern
INSA,Bild,T • 1.00515.04.–17.04.,22.04.2013,FW,9 %,bayern
GMS,vbw,T • 1.00404.02.–15.02.,06.03.2013,FW,8 %,bayern
TNSInfratest,GRÜNE LV,T • 1.00128.01.–06.02.,12.02.2013,FW,8 %,bayern
Emnid,CSU,T • 1.00105.02.–07.02.,10.02.2013,FW,9 %,bayern
Emnid,CSU,T • ???.??.–??.??.,15.01.2013,FW,8 %,bayern
Forsa,stern,T • 1.11917.12.–08.01.,10.01.2013,FW,9 %,bayern
Infratestdimap,BayerischerRundfunk,T • 1.00003.01.–07.01.,09.01.2013,FW,9 %,bayern
GMS,CSU,T • 1.10004.12.–07.12.,15.12.2012,FW,8 %,bayern
GMS,vbw,T • ?22.10.–30.10.,20.11.2012,FW,8 %,bayern
GMS,Sat.1Bayern,T • 1.00716.10.–18.10.,19.10.2012,FW,8 %,bayern
Emnid,Focus,T • 1.00126.09.–10.10.,14.10.2012,FW,8 %,bayern
Emnid,CSU,T • ???.??.–??.??.,18.09.2012,FW,9 %,bayern
Emnid,CSU,T • 1.00027.07.–30.07.,13.08.2012,FW,8 %,bayern
GMS,vbw,T • 1.000Ende Juni,17.07.2012,FW,6 % 8 %,bayern
GMS,vbw,"Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.","Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.",FW,"Die Werte der vorstehenden GMS-Umfrage für die Vereinigung der Bayerischen Wirtschaft e. V. (welche die Umfrage nicht veröffentlicht)weichen in den Quellen voneinander ab, die in der Zeile stehenden Werte sind uns noch nicht bestätigt worden.",bayern
Forsa,stern,T • 1.15021.06.–29.06.,04.07.2012,FW,9 %,bayern
Emnid,Focus,T • 1.00020.06.–21.06.,24.06.2012,FW,6 %,bayern
Emnid,CSU,T • 1.00016.04.–18.04.,20.04.2012,FW,7 %,bayern
Emnid,Focus,T • 1.00115.03.–20.03.,24.03.2012,FW,8 %,bayern
Infratestdimap,BayerischerRundfunk,1.00002.01.–03.01.,04.01.2012,FW,8 %,bayern
GMS,Sat.1Bayern,1.00230.12.–03.01.,04.01.2012,FW,9 %,bayern
Emnid,CSU,1.000??.12.–??.12.,21.12.2011,FW,9 %,bayern
